"resource_type","display_name","region","lifecycle_state","compartment_id","ocid","time_created","freeform_tags","defined_tags"
"PrivateIp","ReverseConnectionIp",,"AVAILABLE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.privateip.oc19.eu-madrid-2.aaaaaaaajyx5blddbfabeun35qagpk37tmdkzvnh65pertxequldovmkeota","2026-05-22T12:23:42.521000+00:00","{}","{}"
"PrivateIp","o_d_om2_dns_fwdexnpr_001",,"AVAILABLE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.privateip.oc19.eu-madrid-2.ab3gyljr5f6jctqirpj6tovd3apfvyh75yoau4e3tvogpmjj4iadac5yroua","2026-05-22T12:23:22.035000+00:00","{}","{}"
"PrivateIp","ReverseConnectionIp",,"AVAILABLE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.privateip.oc19.eu-madrid-2.aaaaaaaagrcmseimcxdy77g2dltf7wf5yh4kfrk32bgn7wtur65bfzf5cdgq","2026-05-22T12:22:36.917000+00:00","{}","{}"
"PrivateIp","o_p_om2_dns_fwdexpro_001",,"AVAILABLE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.privateip.oc19.eu-madrid-2.ab3gyljr6xdpbuftd3fjuhheek2oacaekq2y5jkk7t3cgqoc5jgdvkkkwysa","2026-05-22T12:22:26.972000+00:00","{}","{}"
"PrivateIp","ReverseConnectionIp",,"AVAILABLE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.privateip.oc19.eu-madrid-2.aaaaaaaac2zwyog3ijicnhlwg4gphkfyi2pckba6c6lwjxceqsotvwx4rwda","2026-05-22T12:10:07.018000+00:00","{}","{}"
"PrivateIp","o_p_om2_dns_fwdhub_001",,"AVAILABLE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.privateip.oc19.eu-madrid-2.ab3gyljrpnmuccdca4iu264ngpk5yxcsfoervaccrpmihyae7jqrcwizjzka","2026-05-22T12:09:54.235000+00:00","{}","{}"
"PrivateIp","o_p_om2_dns_listen_001",,"AVAILABLE","ocid1.compartment.oc19..aaaaaaaa5gtrrkqmob4ummcgl52exbo4d4vf55uvlzdku5j4fammf3b2pmlq","ocid1.privateip.oc19.eu-madrid-2.ab3gyljrjfvflm2py4gteeaxxbxpw2tkneat7y634ihiidhyi3axkpthokaa","2026-05-22T12:06:41.787000+00:00","{}","{}"
